sku,name,price,aisle,,
60554,VALLOBERA CRIANZA,$10.99,WINE,,
47536,ESPIRAL VINHO VERDE,$5.49,WINE,,
97780,FLORIANA GRUNER VELTLINER,$7.49,WINE,,
60049,GIVON CAB,$7.99,WINE,,
61241,GIVON CHARD KOSHER,$7.99,WINE,,
68082,MANDELA THEMBU SAUV BLANC,$6.99,WINE,,
58887,MBALI CHENIN VIOGNIER,$5.99,WINE,,
58365,PORTA 6 RED WINE,$6.99,WINE,,
72648,ST DONATUS SEMI-SWEET MERLOT,$6.99,WINE,,
74402,VINHA DA FONTE RESERVA 2019,$8.99,WINE,,
72737,HEARTLEAF ROSE,$5.99,WINE,,
62221,AIME LA VIE ROSE SYRAH GRENACHE,$8.99,WINE,,
74830,CELINE COTES DE PROVENCE ROSE,$7.99,WINE,,
60781,DE MONT COTEAUX VARIOS EN PROVENCE ROSE,$10.99,WINE,,
60276,EMMA REICHART PINOT NOIR ROSE,$5.99,WINE,,
97395,ESPIRAL VINHO ROSE,$5.99,WINE,,
63104,FREEDA ROSE,$9.99,WINE,,
72130,GIARDINO PINOT GRIGIO VIVACE ROSE,$5.99,WINE,,
54676,LES PORTES DE BORDEAUX ROSE,$7.49,WINE,,
63005,MOONLIGHT AND ROSES COTEAUX DAIX EN PROVENCE ROSE,$10.99,WINE,,
96769,QUINSON COTES DE PROVENCE ROSE,$9.99,WINE,,
63239,VILLA BORGHETTI PINOT GRIGIO ROSE,$6.99,WINE,,
81576,ALMOND CREEK SPARKLING,$7.99,WINE,,
78320,TJ GRAND RESERVE LOS CARNEROS BRUT LOT 127,$12.99,WINE,,
76792,AMUSE BOUCHE PET NAT,$11.99,WINE,,
77296,ERNEST RAPENEAU BLANC DE BLANCS CHAMPAGNE,$26.99,WINE,,
52265,ERNEST RAPENEAU BRUT CHAMPAGNE 375ML SPLIT,$11.49,WINE,,
58288,LA BURGONDIE CREMANT DE BOURGOGNE BRUT RES,$10.99,WINE,,
58289,LA BURGONDIE CREMANT DE BOURGOGNE ROSE BRUT,$11.99,WINE,,
74751,LA FERME JULIEN SPARKLING ROSE,$7.99,WINE,,
91057,LOUISE DESTREE BRUT FRANCE,$9.99,WINE,,
07124,TJS FRENCH SPARKLING BLANC DE BLANCS,$6.99,WINE,,
72406,TJS FRENCH SPARKLING ROSE,$6.99,WINE,,
72647,SCHLOSS BIEBRICH TROCKEN,$6.99,WINE,,
59269,SECCO GRAPEFRUIT POMPELINI,$5.99,WINE,,
59266,SECCO MANGO MANGOCINI,$5.99,WINE,,
55172,SECCO PEACH BELLINI SPARKLING WINE,$5.99,WINE,,
